dates,cpi,core_cpi,gdp,real_gdp,fedfunds,emratio,wti_oil,divisia_m3,gov_total,gov_current,total_par,total_market,private_par,private_market
1994.04,149.77,158.1,1863.82,2819.98,5.17,63,17.66,452.4,636.176,405.583,4706.3,4719.9,3129,3150.72
1995.01,150.87,159.43,1880.57,2829.99,5.81,63.1,18.36,453.27,645.606,410.627,4798.17,4756.99,3174.47,3161
1995.02,152.1,160.73,1895.25,2838.43,6.02,62.8,19.34,452.63,652.63,414.852,4856.97,4904.66,3214.52,3261.62
1995.03,152.87,161.8,1920.78,2862.58,5.8,62.8,17.85,457.63,649.696,417.711,4938.48,5103.9,3247.28,3377.66
1995.04,153.7,162.93,1943.15,2882.02,5.72,62.8,18.16,463.67,653.849,416.351,4976.67,5160.24,3275.28,3420.19
1996.01,155.07,164.03,1967.12,2903.6,5.36,62.9,19.77,467.1,667.495,425.304,4988.48,5247.21,3296.9,3496.28
1996.02,156.4,165,2008.21,2952.04,5.24,63.1,21.76,474.97,673.799,427.867,5078.96,5224.36,3345.75,3462.12
1996.03,157.3,166.07,2032.85,2978.52,5.31,63.3,22.42,482.9,675.45,428.766,5159.49,5247.65,3354.03,3430.22
1996.04,158.67,167.13,2064.94,3009.44,5.28,63.4,24.67,488.8,680.22,433.792,5226.81,5331.8,3383.83,3471.24
1997.01,159.63,168.1,2090.66,3028.87,5.28,63.5,22.79,496.93,685.133,434.183,5311.24,5460.66,3417.71,3536.86
1997.02,160,169.17,2129.71,3079.31,5.52,63.7,19.91,504.43,685.388,438.961,5361.6,5439.59,3438.35,3507.74
1997.03,160.8,169.9,2165.71,3117.75,5.53,63.9,19.78,504.43,696.242,439.494,5364.78,5490.68,3384.5,3487.32
1997.04,161.67,170.87,2191.48,3144.37,5.51,64,19.92,522.03,705.591,446.712,5414.93,5577.39,3396.63,3525.3
1998.01,162,171.9,2216.62,3175.94,5.52,64,15.93,532.3,702.359,442.198,5485.02,5701.87,3398.12,3565.42
1998.02,162.53,172.87,2242.42,3205.33,5.5,64.1,14.65,543.6,709.375,445.478,5521,5732.75,3395.42,3559.05
1998.03,163.37,173.9,2280.27,3245.69,5.53,64,14.13,553.23,716.55,447.135,5527.34,5756.4,3332.37,3509.07
1998.04,164.13,174.87,2323.5,3297.92,4.86,64.2,12.84,565.7,727.306,453.63,5550,5913.84,3319.72,3581.23
1999.01,164.73,175.63,2352.92,3328.9,4.73,64.3,13.05,581.13,732.761,452.997,5605.44,5945.48,3309.26,3553.61
1999.02,165.97,176.47,2381.55,3356.69,4.75,64.2,17.66,591,739.88,454.24,5619.8,5842.88,3272.41,3437.07
1999.03,167.2,177.4,2421.66,3401.19,5.09,64.2,21.74,600.8,751.007,460.801,5627.21,5767.55,3194.16,3304.44
1999.04,168.43,178.4,2475.04,3457,5.31,64.4,24.56,609.2,771.706,468.789,5669.46,5769.48,3178.62,3261.84
